Location Category,CDC Location Label,NHSN Healthcare Service Location Code,Location Description
INPATIENT LOCATIONS,Adult Mixed Acuity Unit,1210-4,"Hospital area for the evaluation and treatment of adult patients whose conditions are of varying levels of acuity (for example, critical care, ward-level care, step-down type care, etc.).  Such a care area may be comprised of patients followed by different hospital services (for example, coronary, medical, surgical, etc.).  This care area may or may not include ''acuity adaptable'' or ''universal'' beds (specifically, this model of patient care allows a patient to stay in same bed during all phases of his care, from critical care through lower levels of care)."
INPATIENT LOCATIONS,Pediatric Mixed Acuity Unit,1211-2,"Hospital area for the evaluation and treatment of pediatric patients whose conditions are varying levels of acuity (for example, critical care, ward-level care, step down type care, etc.). Such a care area may be comprised of patients followed by different hospital services (for example, coronary, medical, surgical, etc.). This care area may or may not include “acuity adaptable” or “universal” beds (specifically, this model of patient care allows a patient to stay in the same bed during all phases of his care, from critical care through lower levels of care)."
INPATIENT LOCATIONS,Mixed Age Mixed Acuity Unit,1212-0,"Hospital area for the evaluation and treatment of a mixture of adult and pediatric patients whose conditions are of varying levels of acuity (for example, critical care, ward-level care, step-down type care, etc.).  Such a care area may be comprised of patients followed by different hospital services (for example, coronary, medical, surgical, etc.).  This care area may or may not include ''acuity adaptable'' or ''universal'' beds (specifically, this model of patient care allows a patient to stay in same bed during all phases of his care, from critical care through lower levels of care)."
INPATIENT LOCATIONS,Long Term Acute Care Pediatric Ward,1214-6,"Hospital area for the evaluation and treatment of patients <= 18 years old, suffering medically complex conditions or who have suffered recent catastrophic illness or injury, and require an extended stay in an acute care environment"
INPATIENT LOCATIONS,Rehabilitation Ward (within freestanding Inpatient Rehabilitation Facility),1217-9,"Hospital area for evaluation, treatment, and restoration of function to patients have lost function due to acute or chronic pain, musculoskeletal problems, stroke, brain or spinal cord dysfunction, or catastrophic events resulting in complete or partial paralysis."
INPATIENT LOCATIONS,Pediatric Rehabilitation Ward (within freestanding Inpatient Rehabilitation Facility),1218-7,"Hospital area for evaluation, treatment, and restoration of function to patients ≤18 years old who have lost function due to acute or chronic pain, musculoskeletal problems, stroke, brain or spinal cord dysfunction, or catastrophic events results in complete or partial paralysis."
INPATIENT LOCATIONS,Long Term Acute Care Intensive Care Unit,1220-3,"Critical care area specializing in the evaluation, treatment, and management of patients that require high observance/acuity and/or special care that are suffering medically complex conditions or who have suffered recent catastrophic illness or injury and require and extended stay in an acute care environment."
INPATIENT LOCATIONS,Long Term Acute Care Ward,1221-1,Hospital area for the evaluation and treatment of patients suffering medically complex conditions or who have suffered recent catastrophic illness or injury and require an extended stay in an acute care environment.
INPATIENT LOCATIONS,Long Term Acute Care Pediatric Intensive Care Unit,1222-9,"Critical care area specializing in the evaluation, treatment, and management of patients ≤18 years old, that require high observation/acuity and/or special care that are suffering medically complex conditions or who have suffered recent catastrophic illness or injury and require an extended stay in an acute care environment."
INPATIENT LOCATIONS,Oncology Medical Critical Care,1223-7,Critical care area for the care of oncology patients who are being treated for nonsurgical conditions related to their malignancy.
INPATIENT LOCATIONS,Oncology Surgical Critical Care,1224-5,Critical care area for the evaluation and management of oncology patients with serious illness before and/or after cancer-related surgery.
INPATIENT LOCATIONS,Oncology Medical-Surgical Critical Care,1225-2,Critical care area for the care of oncology patients with medical and/or surgical conditions related to their malignancy.
INPATIENT LOCATIONS,Oncology Leukemia Ward,1226-0,Area for the evaluation and treatment of patients with leukemia.
INPATIENT LOCATIONS,Oncology Step Down Unit,1227-8,"Area for oncology patients who are hemodynamically stable and can benefit from close supervision and monitoring, such as frequent pulmonary toilet, vital signs, and/or neurologic and neurovascular checks."
INPATIENT LOCATIONS,Oncology Lymphoma Ward,1228-6,Area for the evaluation and treatment of patients with lymphoma.
INPATIENT LOCATIONS,Oncology Leukemia-Lymphoma Ward,1229-4,Area for the evaluation and treatment of patients with leukemia and/or lymphoma.
INPATIENT LOCATIONS,Oncology Solid Tumor Ward,1230-2,Area for the evaluation and treatment of oncology patients with solid tumors.
INPATIENT LOCATIONS,Oncology Hematopoietic Stem Cell Transplant Ward,1231-0,"Area for the care of patients who undergo stem cell transplant for the treatment of cancers, immune effector cell therapy, and/or blood or immune system disorders."
INPATIENT LOCATIONS,Oncology General Hematology-Oncology Ward,1232-8,Area for the evaluation and treatment of patients with cancer and/or blood disorders.
INPATIENT LOCATIONS,Oncology Pediatric Critical Care,1233-6,Critical care area for the care of oncology patients ≤18 years old who are being treated for surgical or nonsurgical conditions related to their malignancy.
INPATIENT LOCATIONS,Oncology Pediatric Hematopoietic Stem Cell Transplant Ward,1234-4,Area for the care of patients ≤18 years old who undergo stem cell transplant for the treatment of cancers and/or blood or immune system disorders.
INPATIENT LOCATIONS,Oncology Pediatric General Hematology-Oncology Ward,1235-1,Area for the evaluation and treatment of patients ≤18years old with cancer and/or blood disorders.
INPATIENT LOCATIONS,Oncology Mixed Acuity Unit (all ages),1236-9,"Area for the evaluation and treatment of a mixture of adult and pediatric oncology patients whose conditions are of varying levels of acuity (for example, critical care, ward-level care, step-down type care, etc.).  This care area may or may not include ""acuity adaptable"" or “universal” beds (specifically, this model of patient care allows a patient to stay in the same bed during all phases of care, from critical care through lower levels of care)."
INPATIENT LOCATIONS,Long Term Care Facility Inpatient Hospice Unit,1254-2,A unit or designated area which provides palliative and supportive care services to individuals diagnosed with life limiting (terminal) conditions.
INPATIENT LOCATIONS,Long Term Care Facility Dementia Unit,1255-9,"A unit or designated area which provides specialized care for individuals diagnosed with dementia or related conditions, including Alzheimer's disease."
INPATIENT LOCATIONS,Long Term Care Facility Psychiatric Unit,1256-7,Unit or designated area which provides specialized care for individuals diagnosed with psychiatric or behavioral disorders.
INPATIENT LOCATIONS,Long Term Care Facility Skilled Nursing-Short Term Rehabilitation,1257-5,"A unit or designated area which primarily provides short term (˂90 days), medical, skilled nursing or rehabilitation services to individuals requiring restorative care following recent hospitalization."
INPATIENT LOCATIONS,Long Term Care Facility General Nursing Unit,1258-3,"A unit or designated area which primarily provides nursing, rehabilitative or custodial services to individuals with varying levels of chronic conditions or disability requiring long term (˃90 days) support."
INPATIENT LOCATIONS,Long Term Care Facility Ventilator Dependent Unit,1259-1,A unit or designated area which provides nursing and respiratory care to individuals who require mechanical ventilation.
INPATIENT LOCATIONS,Long Term Care Facility Bariatric Unit,1260-9,A unit or designated area which provides specialized care for individuals who are preparing for or have undergone bariatric surgery.
INPATIENT LOCATIONS,Neonatal Critical Care (Level IV),1269-0,"Critical care area for the care of newborns and infants with serious illness requiring Level IV care; area is supervised by a neonatologist. Level IV is Level III capabilities plus: Located within an institution with the capability to provide surgical repair of complex congenital or acquired conditions; Maintain a full range of pediatric medical subspecialists, pediatric surgical subspecialists, and pediatric subspecialists at the site; Facilitate transport and provide outreach education."
INPATIENT LOCATIONS,Chemical Dependency Ward,1270-8,Area for the evaluation and treatment of patients with chemical dependency.
INPATIENT LOCATIONS,Onsite Overflow Ward,1271-6,Area previously used for non-patient care which has been repurposed to care for non-critically ill or injured patients
INPATIENT LOCATIONS,Onsite Overflow Critical Care,1272-4,Area previously used for non-patient care which has been repurposed to care for critically ill or injured patients.
OUTPATIENT LOCATIONS,Endoscopy Suite,1007-4,"An area where endoscopic procedures (for example, upper gastrointestinal, lower gastrointestinal endoscopies, bronchoscopy) are performed on outpatients and/or inpatients. Patient care and processing of equipment may take place in this location."
OUTPATIENT LOCATIONS,Radiology,1008-2,"An area where diagnostic or therapeutic radiologic procedures are done on outpatients and/or inpatients. Operating room requirements for air changes, temperature, humidity, and surfaces are NOT met. (includes Nuclear Medicine)"
OUTPATIENT LOCATIONS,Pulmonary Function Testing,1009-0,Area where the evaluation of a patient's respiratory status takes place.
OUTPATIENT LOCATIONS,Hyperbaric Oxygen Center,1017-3,An outpatient setting where therapeutic hyperbaric oxygen is administered.
OUTPATIENT LOCATIONS,Infusion Center,1018-1,"An outpatient setting for the administration of fluids, blood products and medications."
OUTPATIENT LOCATIONS,Specimen Collection Area (Healthcare),1019-9,"An area within a healthcare facility where procedures are performed to collect blood, tissue, and other specimens for diagnostic purposes."
OUTPATIENT LOCATIONS,Emergency Department,1108-0,Area that provides emergency medical services; top priority is given to those with life-threatening illness or injury.
OUTPATIENT LOCATIONS,Pediatric Emergency Department,1109-8,Area that provides emergency medical services to patients ≤18 years old; top priority is given to those with life-threatening illness or injury.
OUTPATIENT LOCATIONS,Allergy Clinic,1110-6,An outpatient setting for the purpose of providing services to patients with allergies.
OUTPATIENT LOCATIONS,Cardiac Rehabilitation Center,1112-2,"An outpatient setting where patients with cardiac disease, in partnership with a multidisciplinary team of health professionals, are encouraged and supported to achieve and maintain optimal physical health through exercise, nutritional, and psychological counseling."
OUTPATIENT LOCATIONS,Cardiology Clinic,1113-0,An outpatient setting for the evaluation and treatment of patients with cardiac problems.
OUTPATIENT LOCATIONS,Dermatology Clinic,1115-5,An outpatient setting for the evaluation and treatment of patients with dermatologic conditions by a dermatologist.
OUTPATIENT LOCATIONS,Diabetes-Endocrinology Clinic,1116-3,"An outpatient setting for the evaluation, education, and treatment of persons with diabetes."
OUTPATIENT LOCATIONS,Family Medicine Clinic,1117-1,An outpatient setting for patients who are managed by a family practice physician or group of physicians. Does not include private physician practice.
OUTPATIENT LOCATIONS,Gastrointestinal Clinic,1118-9,"An outpatient setting for the diagnosis, evaluation, and treatment of conditions related to the gastrointestinal tract.  Usually includes an endoscopy suite."
OUTPATIENT LOCATIONS,Pediatric Gastrointestinal Clinic,1119-7,An outpatient setting for the evaluation and treatmentof persons ≤18 years old with gastrointestinal disorders.
OUTPATIENT LOCATIONS,Medical Clinic,1120-5,"An outpatient setting for the diagnosis, evaluation and treatment of medical disorders."
OUTPATIENT LOCATIONS,Gynecology Clinic,1121-3,An outpatient setting for the evaluation and treatment of women with reproductive tract conditions.
OUTPATIENT LOCATIONS,Genetics Clinic,1122-1,An outpatient setting for testing and counseling of patients with genetic or hereditary disorders.
OUTPATIENT LOCATIONS,Neurology Clinic,1123-9,"An outpatient setting for the diagnosis, evaluation, and treatment of persons with neurologic disorders."
OUTPATIENT LOCATIONS,Ophthalmology Clinic,1124-7,"An outpatient setting for the diagnosis, evaluation and treatment of ophthalmologic disorders."
OUTPATIENT LOCATIONS,Orthopedic Clinic,1125-4,"An outpatient setting for the diagnosis, evaluation and treatment of orthopedic disorders."
OUTPATIENT LOCATIONS,"Ear, Nose, Throat Clinic",1126-2,"An outpatient setting for the evaluation and treatment of conditions related to the ear, nose, and/or throat."
OUTPATIENT LOCATIONS,Pain Clinic,1127-0,An outpatient setting for the evaluation and treatment of persons with chronic or intractable pain.
OUTPATIENT LOCATIONS,Pediatric Clinic,1128-8,An outpatient setting for the evaluation and treatmentof persons ≤18 years old.
OUTPATIENT LOCATIONS,Pediatric Cardiology Center,1129-6,An outpatient setting for the evaluation and management of persons ≤18 years old with cardiac disorders.
OUTPATIENT LOCATIONS,Pediatric Dental Clinic,1130-4,"An outpatient setting that provides dental services, including preventive teeth cleaning, emergency treatment, and comprehensive oral care to persons ≤18 years old. This may be a private or group practice or a teaching facility for dentists and/or dental hygienists."
OUTPATIENT LOCATIONS,Pediatric Dermatology Clinic,1131-2,An outpatient setting for the evaluation and management of persons ≤18 years old with dermatologic disorders.
OUTPATIENT LOCATIONS,Pediatric Diabetes-Endocrinology Clinic,1132-0,An outpatient setting for the evaluation and management of persons ≤18 years old with diabetes or other endocrine disorders.
OUTPATIENT LOCATIONS,Pediatric Orthopedic Clinic,1133-8,An outpatient setting for the evaluation and treatment of persons ≤18 years old with fractures or other orthopedic disorders.
OUTPATIENT LOCATIONS,Pediatric Scoliosis Clinic,1134-6,An outpatient setting for the evaluation and treatment of persons ≤18 years old with scoliosis or other growth disorders of the spine.
OUTPATIENT LOCATIONS,Pediatric Hematology-Oncology Clinic,1136-1,An outpatient setting for the evaluation and treatment of persons ≤18 years old with cancer and/or blood disorders.
OUTPATIENT LOCATIONS,Pediatric Nephrology Clinic,1137-9,An outpatient setting for the evaluation and treatment of persons ≤18 years old with disorders of the genitourinary tract.
OUTPATIENT LOCATIONS,Pediatric Rheumatology Clinic,1138-7,An outpatient setting for the evaluation and treatmentof persons ≤18 years old with rheumatology disorders.
OUTPATIENT LOCATIONS,Well Baby Clinic,1139-5,An outpatient setting for the examination and treatment of normal newborns.
OUTPATIENT LOCATIONS,Podiatry Clinic,1140-3,An outpatient setting for the evaluation and treatment of patients with conditions or disorders of the feet.
OUTPATIENT LOCATIONS,Physician's Office,1141-1,A physician's office practice.
OUTPATIENT LOCATIONS,Rheumatology Clinic,1142-9,"An outpatient setting for the evaluation and treatment of persons with autoimmune disorders, primarily rheumatoid arthritis."
OUTPATIENT LOCATIONS,Surgical Services Clinic,1143-7,An outpatient setting for the preoperative evaluation and the postoperative management of patients undergoing a surgical procedure.
OUTPATIENT LOCATIONS,Wound Center,1144-5,An outpatient setting for the evaluation and treatment of persons with acute or chronic wounds.
OUTPATIENT LOCATIONS,Behavioral Health Clinic,1145-2,An outpatient setting for the purpose of providing services to patients with psychiatric or behavior disorders.
OUTPATIENT LOCATIONS,Pediatric Behavioral Health Clinic,1146-0,An outpatient setting for the evaluation and management of persons ≤18 years old with psychiatric or behavior disorders.
OUTPATIENT LOCATIONS,Blood Collection Center,1147-8,"An outpatient setting where blood is collected from donors. This does not include donation centers temporarily set up in non-clinical settings (for example, schools, churches) or mobile blood collection centers."
OUTPATIENT LOCATIONS,Continence Clinic,1148-6,An outpatient setting for the evaluation and treatment of patients with incontinence problems.
OUTPATIENT LOCATIONS,Ostomy Clinic,1149-4,An outpatient setting for the management of persons who have had surgical procedure for removing normal bodily wastes through a surgical opening (stoma) on the abdominal wall.
OUTPATIENT LOCATIONS,Dental Clinic,1150-2,"An outpatient setting that provides dental services, including preventive teeth cleaning, emergency treatment, and comprehensive oral care. This may be a private or group practice or a teaching facility for dentists and/or dental hygienists."
OUTPATIENT LOCATIONS,Occupational Health Clinic,1151-0,"An outpatient setting where workplace physicals, workplace injury management and immunological evaluations take place"
OUTPATIENT LOCATIONS,Occupational Therapy Clinic,1152-8,"An outpatient setting where persons with injury or disability are helped to resume activities of daily living with exercise, massage, and other therapies."
OUTPATIENT LOCATIONS,Outpatient Hemodialysis Clinic,1153-6,An outpatient setting for maintenance hemodialysis patients where they are evaluated and dialyzed in- center.
OUTPATIENT LOCATIONS,HIV Clinic,1154-4,"An outpatient setting for the diagnosis, evaluation, and treatment of persons who are HIV positive or who have AIDS."
OUTPATIENT LOCATIONS,Rehabilitation Clinic,1155-1,"An outpatient setting where persons with injury or disability are evaluated and treated to resume activities of daily living, speech and language skills, and maximum physical function.  This may include social and psychological evaluation and treatment"
OUTPATIENT LOCATIONS,Prenatal Clinic,1156-9,An outpatient setting for the evaluation and treatment of pregnant women.
OUTPATIENT LOCATIONS,Pulmonary Clinic,1157-7,An outpatient setting for the evaluation and treatment of persons with disorders of the respiratory tract.
OUTPATIENT LOCATIONS,Speech Therapy Clinic,1158-5,"An outpatient setting for the evaluation and treatment of persons with brain injury to maximize their speech, swallow, and language functions."
OUTPATIENT LOCATIONS,Wound Ostomy Continence Clinic,1159-3,"An outpatient area that provides acute and rehabilitative care for people with selective disorders of the gastrointestinal, genitourinary, and integumentary (skin) systems."
OUTPATIENT LOCATIONS,Urgent Care Center,1160-1,Area that provides medical care services for illnesses and injuries that are not life-threatening.
